game_id,game_name,game_image_url,Year,Release Date,gameplay_main,gameplay_main_unit,gameplay_main_label,position,type
9377,Super Mario Galaxy,/games/250px-SuperMarioGalaxy.jpg,2007,01/11/2007,13.5,Hours,Main Story,9.0,tile
9377,Super Mario Galaxy,/games/250px-SuperMarioGalaxy.jpg,2007,01/11/2007,13.5,Hours,Main Story,10.0,tile
9377,Super Mario Galaxy,/games/250px-SuperMarioGalaxy.jpg,2007,01/11/2007,13.5,Hours,Main Story,11.0,tile
9377,Super Mario Galaxy,/games/250px-SuperMarioGalaxy.jpg,2007,01/11/2007,13.5,Hours,Main Story,12.0,tile
9377,Super Mario Galaxy,/games/250px-SuperMarioGalaxy.jpg,2007,01/11/2007,13.5,Hours,Main Story,13.0,tile
6537,New Super Mario Bros. Wii,/games/250px-NewSuperMarioBrosWiiBoxart.png,2009,15/11/2009,9.0,Hours,Main Story,9.0,top_pipe
6537,New Super Mario Bros. Wii,/games/250px-NewSuperMarioBrosWiiBoxart.png,2009,15/11/2009,9.0,Hours,Main Story,0.0,tile
6537,New Super Mario Bros. Wii,/games/250px-NewSuperMarioBrosWiiBoxart.png,2009,15/11/2009,9.0,Hours,Main Story,1.0,tile
6537,New Super Mario Bros. Wii,/games/250px-NewSuperMarioBrosWiiBoxart.png,2009,15/11/2009,9.0,Hours,Main Story,2.0,tile
6537,New Super Mario Bros. Wii,/games/250px-NewSuperMarioBrosWiiBoxart.png,2009,15/11/2009,9.0,Hours,Main Story,3.0,tile
6537,New Super Mario Bros. Wii,/games/250px-NewSuperMarioBrosWiiBoxart.png,2009,15/11/2009,9.0,Hours,Main Story,4.0,tile
6537,New Super Mario Bros. Wii,/games/250px-NewSuperMarioBrosWiiBoxart.png,2009,15/11/2009,9.0,Hours,Main Story,5.0,tile
6537,New Super Mario Bros. Wii,/games/250px-NewSuperMarioBrosWiiBoxart.png,2009,15/11/2009,9.0,Hours,Main Story,6.0,tile
6537,New Super Mario Bros. Wii,/games/250px-NewSuperMarioBrosWiiBoxart.png,2009,15/11/2009,9.0,Hours,Main Story,7.0,tile
6537,New Super Mario Bros. Wii,/games/250px-NewSuperMarioBrosWiiBoxart.png,2009,15/11/2009,9.0,Hours,Main Story,8.0,tile
9378,Super Mario Galaxy 2,/games/Super_Mario_Galaxy_2_Box_Art.jpg,2010,23/05/2010,13.5,Hours,Main Story,13.5,top_pipe
9378,Super Mario Galaxy 2,/games/Super_Mario_Galaxy_2_Box_Art.jpg,2010,23/05/2010,13.5,Hours,Main Story,0.0,tile
9378,Super Mario Galaxy 2,/games/Super_Mario_Galaxy_2_Box_Art.jpg,2010,23/05/2010,13.5,Hours,Main Story,1.0,tile
9378,Super Mario Galaxy 2,/games/Super_Mario_Galaxy_2_Box_Art.jpg,2010,23/05/2010,13.5,Hours,Main Story,2.0,tile
9378,Super Mario Galaxy 2,/games/Super_Mario_Galaxy_2_Box_Art.jpg,2010,23/05/2010,13.5,Hours,Main Story,3.0,tile
9378,Super Mario Galaxy 2,/games/Super_Mario_Galaxy_2_Box_Art.jpg,2010,23/05/2010,13.5,Hours,Main Story,4.0,tile
9378,Super Mario Galaxy 2,/games/Super_Mario_Galaxy_2_Box_Art.jpg,2010,23/05/2010,13.5,Hours,Main Story,5.0,tile
9378,Super Mario Galaxy 2,/games/Super_Mario_Galaxy_2_Box_Art.jpg,2010,23/05/2010,13.5,Hours,Main Story,6.0,tile
9378,Super Mario Galaxy 2,/games/Super_Mario_Galaxy_2_Box_Art.jpg,2010,23/05/2010,13.5,Hours,Main Story,7.0,tile
9378,Super Mario Galaxy 2,/games/Super_Mario_Galaxy_2_Box_Art.jpg,2010,23/05/2010,13.5,Hours,Main Story,8.0,tile
9378,Super Mario Galaxy 2,/games/Super_Mario_Galaxy_2_Box_Art.jpg,2010,23/05/2010,13.5,Hours,Main Story,9.0,tile
9378,Super Mario Galaxy 2,/games/Super_Mario_Galaxy_2_Box_Art.jpg,2010,23/05/2010,13.5,Hours,Main Story,10.0,tile
9378,Super Mario Galaxy 2,/games/Super_Mario_Galaxy_2_Box_Art.jpg,2010,23/05/2010,13.5,Hours,Main Story,11.0,tile
9378,Super Mario Galaxy 2,/games/Super_Mario_Galaxy_2_Box_Art.jpg,2010,23/05/2010,13.5,Hours,Main Story,12.0,tile
9378,Super Mario Galaxy 2,/games/Super_Mario_Galaxy_2_Box_Art.jpg,2010,23/05/2010,13.5,Hours,Main Story,13.0,tile
9361,Super Mario 3D Land,/games/250px-Super-Mario-3D-Land-Logo.jpg,2011,03/11/2011,7.0,Hours,Main Story,7.0,top_pipe
9361,Super Mario 3D Land,/games/250px-Super-Mario-3D-Land-Logo.jpg,2011,03/11/2011,7.0,Hours,Main Story,0.0,tile
9361,Super Mario 3D Land,/games/250px-Super-Mario-3D-Land-Logo.jpg,2011,03/11/2011,7.0,Hours,Main Story,1.0,tile
9361,Super Mario 3D Land,/games/250px-Super-Mario-3D-Land-Logo.jpg,2011,03/11/2011,7.0,Hours,Main Story,2.0,tile
9361,Super Mario 3D Land,/games/250px-Super-Mario-3D-Land-Logo.jpg,2011,03/11/2011,7.0,Hours,Main Story,3.0,tile
9361,Super Mario 3D Land,/games/250px-Super-Mario-3D-Land-Logo.jpg,2011,03/11/2011,7.0,Hours,Main Story,4.0,tile
9361,Super Mario 3D Land,/games/250px-Super-Mario-3D-Land-Logo.jpg,2011,03/11/2011,7.0,Hours,Main Story,5.0,tile
9361,Super Mario 3D Land,/games/250px-Super-Mario-3D-Land-Logo.jpg,2011,03/11/2011,7.0,Hours,Main Story,6.0,tile
6535,New Super Mario Bros. 2,/games/250px-Newsupermariobros2boxart.jpg,2012,28/07/2012,5.5,Hours,Main Story,5.5,top_pipe
6535,New Super Mario Bros. 2,/games/250px-Newsupermariobros2boxart.jpg,2012,28/07/2012,5.5,Hours,Main Story,0.0,tile
6535,New Super Mario Bros. 2,/games/250px-Newsupermariobros2boxart.jpg,2012,28/07/2012,5.5,Hours,Main Story,1.0,tile
6535,New Super Mario Bros. 2,/games/250px-Newsupermariobros2boxart.jpg,2012,28/07/2012,5.5,Hours,Main Story,2.0,tile
6535,New Super Mario Bros. 2,/games/250px-Newsupermariobros2boxart.jpg,2012,28/07/2012,5.5,Hours,Main Story,3.0,tile
6535,New Super Mario Bros. 2,/games/250px-Newsupermariobros2boxart.jpg,2012,28/07/2012,5.5,Hours,Main Story,4.0,tile
6535,New Super Mario Bros. 2,/games/250px-Newsupermariobros2boxart.jpg,2012,28/07/2012,5.5,Hours,Main Story,5.0,tile
9362,Super Mario 3D World,/games/Super_Mario_3D_World_box_art.jpg,2013,21/11/2013,10.5,Hours,Main Story,10.5,top_pipe
9362,Super Mario 3D World,/games/Super_Mario_3D_World_box_art.jpg,2013,21/11/2013,10.5,Hours,Main Story,0.0,tile
9362,Super Mario 3D World,/games/Super_Mario_3D_World_box_art.jpg,2013,21/11/2013,10.5,Hours,Main Story,1.0,tile
9362,Super Mario 3D World,/games/Super_Mario_3D_World_box_art.jpg,2013,21/11/2013,10.5,Hours,Main Story,2.0,tile
9362,Super Mario 3D World,/games/Super_Mario_3D_World_box_art.jpg,2013,21/11/2013,10.5,Hours,Main Story,3.0,tile
9362,Super Mario 3D World,/games/Super_Mario_3D_World_box_art.jpg,2013,21/11/2013,10.5,Hours,Main Story,4.0,tile
9362,Super Mario 3D World,/games/Super_Mario_3D_World_box_art.jpg,2013,21/11/2013,10.5,Hours,Main Story,5.0,tile
9362,Super Mario 3D World,/games/Super_Mario_3D_World_box_art.jpg,2013,21/11/2013,10.5,Hours,Main Story,6.0,tile
9362,Super Mario 3D World,/games/Super_Mario_3D_World_box_art.jpg,2013,21/11/2013,10.5,Hours,Main Story,7.0,tile
9362,Super Mario 3D World,/games/Super_Mario_3D_World_box_art.jpg,2013,21/11/2013,10.5,Hours,Main Story,8.0,tile
9362,Super Mario 3D World,/games/Super_Mario_3D_World_box_art.jpg,2013,21/11/2013,10.5,Hours,Main Story,9.0,tile
9362,Super Mario 3D World,/games/Super_Mario_3D_World_box_art.jpg,2013,21/11/2013,10.5,Hours,Main Story,10.0,tile
19215,Super Mario Maker,/games/MarioMakerImage.jpg,2015,11/09/2015,5.0,Hours,Main Story,5.0,top_pipe
