game_id,game_name,game_image_url,game_web_link,gameplay_main,gameplay_main_unit,gameplay_main_label,gameplay_main_extra,gameplay_main_extra_unit,gameplay_main_extra_label,gameplay_completionist,gameplay_completionist_unit,gameplay_completionist_label,Name,Release Date,Year,ID
32409,Mario & Luigi: Paper Jam,/games/MarioandLuigiPaperJambros_BoxartPAL.png,https://howlongtobeat.com/game.php?id=32409,27,Hours,Main Story,32½,Hours,Main + Extra,46,Hours,Completionist,Mario & Luigi: Paper Jam ,03/12/2015,2015,32409
35562,Paper Mario: Color Splash,/games/35562_Paper_Mario_Color_Splash.jpg,https://howlongtobeat.com/game.php?id=35562,30,Hours,Main Story,34,Hours,Main + Extra,39½,Hours,Completionist,Paper Mario: Color Splash,07/10/2016,2016,35562
42171,Super Mario Run,/games/42171_Super_Mario_Run.jpg,https://howlongtobeat.com/game.php?id=42171,2,Hours,Main Story,6,Hours,Main + Extra,16,Hours,Completionist,Super Mario Run,15/12/2016,2016,42171
46464,Mario + Rabbids Kingdom Battle,/games/46464_Mario__Rabbids_Kingdom_Battle.jpg,https://howlongtobeat.com/game.php?id=46464,21½,Hours,Main Story,30,Hours,Main + Extra,45½,Hours,Completionist,Mario + Rabbids Kingdom Battle,29/08/2017,2017,46464
46569,Mario & Luigi: Superstar Saga + Bowser's Minions,/games/46569_Mario_&_Luigi_Superstar_Saga__Bowsers_Minions.jpg,https://howlongtobeat.com/game.php?id=46569,19½,Hours,Main Story,27½,Hours,Main + Extra,49½,Hours,Completionist,Mario & Luigi: Superstar Saga + Bowser's Minions,05/10/2017,2017,46569
42833,Super Mario Odyssey,/games/42833_Super_Mario_Odyssey.jpg,https://howlongtobeat.com/game.php?id=42833,12½,Hours,Main Story,27,Hours,Main + Extra,61½,Hours,Completionist,Super Mario Odyssey,27/10/2017,2017,42833
57958,Mario + Rabbids Kingdom Battle - Donkey Kong Adventure,/games/57958_Mario__Rabbids_Kingdom_Battle_-_Donkey_Kong_Adventure.jpg,https://howlongtobeat.com/game.php?id=57958,7,Hours,Main Story,8½,Hours,Main + Extra,15,Hours,Completionist,Mario + Rabbids Kingdom Battle - Donkey Kong Adventure,15/05/2018,2018,57958
54122,Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey,/games/54122_Mario_&_Luigi_Bowsers_Inside_Story__Bowser_Jrs_Journey.jpg,https://howlongtobeat.com/game.php?id=54122,23½,Hours,Main Story,35,Hours,Main + Extra,62,Hours,Completionist,Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey,28/12/2018,2018,54122
63660,New Super Mario Bros. U Deluxe,/games/63660_New_Super_Mario_Bros_U_Deluxe.jpg,https://howlongtobeat.com/game.php?id=63660,9,Hours,Main Story,17½,Hours,Main + Extra,28,Hours,Completionist,New Super Mario Bros. U Deluxe,11/01/2019,2019,63660
78187,Paper Mario: The Origami King,/games/78187_Paper_Mario_The_Origami_King.jpg,https://howlongtobeat.com/game.php?id=78187,26½,Hours,Main Story,32,Hours,Main + Extra,43,Hours,Completionist,Paper Mario: The Origami King,17/07/2020,2020,78187
82771,Super Mario 3D World + Bowser's Fury,/games/82771_Super_Mario_3D_World__Bowsers_Fury.jpg,https://howlongtobeat.com/game.php?id=82771,8½,Hours,Main Story,15½,Hours,Main + Extra,26½,Hours,Completionist,Super Mario 3D World + Bowser's Fury,12/02/2021,2021,82771
